Name/Code,Key Characteristics,Overall Outer Diameter (or size Width xThickness for flat cable) in inch,Service/Function,Voltage Rating,Insulation,Jacket,Raceway Type,TID (Mrad),Manuf. & Model,Comments,Spec File Name,Request #,Revsion,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12MFibSBFOutdoor2,"Sumitomo FuterFlex 62.5 micron Multimode, 12 fibers, with Outdoor/All Dielectric tube bundle   (2 inner tubes)",0.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB12M6 (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-12MFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12MFibSBFOutdoor4,"Sumitomo FuterFlex 62.5 micron Multimode, 12 fibers, with Outdoor/All Dielectric tube bundle   (4 inner tubes)",0.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB12M6 (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-12MFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12MFibSBFOutdoor7,"Sumitomo FuterFlex 62.5 micron Multimode, 12 fibers, with Outdoor/All Dielectric tube bundle   (7 inner tubes)",1.1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB12M6 (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-12MFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12MFibSBFOutdoor19,"Sumitomo FuterFlex 62.5 micron Multimode, 12 fibers, with Outdoor/All Dielectric tube bundle   (19 inner tubes)",1.7,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB12M6 (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-12MFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12MFibSBFRiser2,"Sumitomo FuterFlex 62.5 micron Multimode, 12 fibers, with Indoor/Riser rated tube bundle (02, 03, 07, 0r 19 inner tubes)",1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB12M6 (Fiber) & TCxxTRX (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-12MFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12MFibSBFRiser3,"Sumitomo FuterFlex 62.5 micron Multimode, 12 fibers, with Indoor/Riser rated tube bundle (02, 03, 07, 0r 19 inner tubes)",1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB12M6 (Fiber) & TCxxTRX (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-12MFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12MFibSBFRiser7,"Sumitomo FuterFlex 62.5 micron Multimode, 12 fibers, with Indoor/Riser rated tube bundle (02, 03, 07, 0r 19 inner tubes)",1.3,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB12M6 (Fiber) & TCxxTRX (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-12MFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12MFibSBFRiser19,"Sumitomo FuterFlex 62.5 micron Multimode, 12 fibers, with Indoor/Riser rated tube bundle (02, 03, 07, 0r 19 inner tubes)",1.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB12M6 (Fiber) & TCxxTRX (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-12MFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12P16ISOSTC3V,"12 Twisted Pair, 16 AWG, individual shield / overall shield ",0.816,Signal,300,PVC,PVC,Tray or Conduit,100,Belden 1495A, ,Belden1495A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12P20OIS3V,"12 Pair, 20 AWG, overall shield, individual shield, tray rated",0.637,"Controls, Analog Cable",300,PVC,PVC,Tray or Conduit,100,Belden 1078A, ,Belden1078A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
