Name/Code,Key Characteristics,Overall Outer Diameter (or size Width xThickness for flat cable) in inch,Service/Function,Voltage Rating,Insulation,Jacket,Raceway Type,TID (Mrad),Manuf. & Model,Comments,Spec File Name,Request #,Revsion,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12SFibSBFRiser7,"Sumitomo FuterFlex 8.3 micron Single Mode, 12 fibers, with Indoor/Riser rated tube bundle (7 inner tubes)",1.3,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB12SX (Fiber) & TCxxTRX (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-12SFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12SFibSBFRiser19,"Sumitomo FuterFlex 8.3 micron Single Mode, 12 fibers, with Indoor/Riser rated tube bundle (19 inner tubes)",1.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB12SX (Fiber) & TCxxTRX (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-12SFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12SyMFibRRTBTC2,"12 Fiber, Premise, Distribution, 62.5/125?m FDDI Grade, multimode Single Unit, riser-rated, fiber optic cable",0.24,Indoor fiber optic cable for data communications (e.g. gigabit ethernet for ICS network communications),N/A,N/A,PVC,"Riser, 
Tray or Conduit",100,CommScope R-012-DS-6F-FSUcc, ,CommScope-R-012-DS-6F-FSUcc.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14C18OS6VTC,"14 Conductor, 18 AWG, Type XLPTC Control Cable, Stranded Copper Conductors, Shielded XLP Insulation, PVC Jacket, Type TC",0.6,turbo pump cable for the insulating vacuum system,600,XLP,PVC,Tray or Conduit,100,Basic Cable 6-2414-18, ,Basic_6-2414-18.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15C22OS3VTC,"15 Conductor, 22 AWG, Stranded,   overall shield. ",0.34,Hot Spare (Ion Source) Data Cable,300,Semi-Rigid PVC,PVC,Tray or Conduit,100,Belden 9947, ,Belden9947.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15C24OSRS232,"15 Conductor, 24 AWG, Stranded Copper, Overall shield, RS 232 Cable",0.28,Buss Bank Ross Relay Status,Comm,PVC,PVC,Tray or Conduit,100,Quabbin 8205, ,Quabbin-8205.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16P16IOISTC3V,"16 Pair, 16 AWG,overall shield/individual shield, tray rated",0.936,Control Cable Analog ,300,PVC,PVC,Tray or Conduit,100,Belden 3051A, ,Belden3051A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16P22OISTC3V,"16 Pair, 22 AWG, overall shield, tray rated",0.674,Control Cable Analog ,300,PVC,PVC,Tray or Conduit,100,Belden 3011A, ,Belden3011A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16PR18IOSTC6V,"16 pair, 18 AWG, FREP instrumentation cable,  Individual and Overall shield, EPR, CPE, 600 Volts, UL Type TC, 90 C wet or dry",1.05,Instrumentation Cable,600,EPR (Flame retardant Ethylene Propylene Rubber Type II,CPE (Flame retardant thermoplastic Chlorinated Polyethylene,Tray or conduit,Core insulation 100 Mrad; Jacket 20 Mrad,General Cable 279740,or Belden 1512C,General279740.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16PR18TC6V,"16 Pair, 18 AWG, shielded, Tray rated",0.949,"Control cable, analog input ",600,"XHHW, EPR",CPE Low Smoke,Tray or Conduit,100,BICC Cables FREP-XL-S600TC-18-16PS with K-2 color code,,BICC-FREP-XL-S600TC-18-16PS-K2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16PR20THCPTC3V,"16 Pair, 20 AWG, Thermocouple Type K, individual Pair and overall shield, tray rated",0.683,Cryogenics systems,NA,PVC,PVC,Tray or Conduit,100,Belden 1015A, ,Belden1015A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16PR20WCTC3V,"16 Pairs, 20 AWG, Individual/Overall Shielding, Plus One 22 AWG Communication Wire",0.704,"controls, beam diagnostic",300,PVC,PVC,Tray or Conduit,100,Belden 1079A, ,Belden1079A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18MFibSBFOutdoor2,"Sumitomo FuterFlex 62.5 micron Multimode, 18 fibers, with Outdoor/All Dielectric tube bundle  (2 inner tubes)",0.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB18M6 (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-18MFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18MFibSBFOutdoor4,"Sumitomo FuterFlex 62.5 micron Multimode, 18 fibers, with Outdoor/All Dielectric tube bundle  (4 inner tubes)",0.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB18M6 (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-18MFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18MFibSBFOutdoor7,"Sumitomo FuterFlex 62.5 micron Multimode, 18 fibers, with Outdoor/All Dielectric tube bundle  (7 inner tubes)",1.1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB18M6 (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-18MFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18MFibSBFOutdoor19,"Sumitomo FuterFlex 62.5 micron Multimode, 18 fibers, with Outdoor/All Dielectric tube bundle  (19 inner tubes)",1.7,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB18M6 (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-18MFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18MFibSBFRiser2,"Sumitomo FuterFlex 62.5 micron Multimode, 18 fibers, with Indoor/Riser rated tube bundle (2 inner tubes)",1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB18M6 (Fiber) & TCxxTRX   (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-18MFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18MFibSBFRiser3,"Sumitomo FuterFlex 62.5 micron Multimode, 18 fibers, with Indoor/Riser rated tube bundle (3 inner tubes)",1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB18M6 (Fiber) & TCxxTRX   (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-18MFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18MFibSBFRiser7,"Sumitomo FuterFlex 62.5 micron Multimode, 18 fibers, with Indoor/Riser rated tube bundle (7 inner tubes)",1.3,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB18M6 (Fiber) & TCxxTRX   (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-18MFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18MFibSBFRiser19,"Sumitomo FuterFlex 62.5 micron Multimode, 18 fibers, with Indoor/Riser rated tube bundle (19 inner tubes)",1.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB18M6 (Fiber) & TCxxTRX   (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-18MFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18SFibSBFOutdoor2,"Sumitomo FuterFlex 8.3 micron Single Mode, 18 fibers, with Outdoor/All Dielectric tube bundle   (2 inner tubes)",0.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB18SX (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-18SFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18SFibSBFOutdoor4,"Sumitomo FuterFlex 8.3 micron Single Mode, 18 fibers, with Outdoor/All Dielectric tube bundle   (4 inner tubes)",0.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB18SX (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-18SFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18SFibSBFOutdoor7,"Sumitomo FuterFlex 8.3 micron Single Mode, 18 fibers, with Outdoor/All Dielectric tube bundle   (7 inner tubes)",1.1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB18SX (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-18SFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18SFibSBFOutdoor19,"Sumitomo FuterFlex 8.3 micron Single Mode, 18 fibers, with Outdoor/All Dielectric tube bundle   (19 inner tubes)",1.7,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB18SX (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-18SFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18SFibSBFRiser2,"Sumitomo FuterFlex 8.3 micron Single Mode, 18 fibers, with Indoor/Riser rated tube bundle (2 inner tubes)",1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB18SX (Fiber) & TCxxTRX   (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-18SFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18SFibSBFRiser3,"Sumitomo FuterFlex 8.3 micron Single Mode, 18 fibers, with Indoor/Riser rated tube bundle (3 inner tubes)",1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB18SX (Fiber) & TCxxTRX   (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-18SFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18SFibSBFRiser7,"Sumitomo FuterFlex 8.3 micron Single Mode, 18 fibers, with Indoor/Riser rated tube bundle (7 inner tubes)",1.3,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB18SX (Fiber) & TCxxTRX   (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-18SFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18SFibSBFRiser19,"Sumitomo FuterFlex 8.3 micron Single Mode, 18 fibers, with Indoor/Riser rated tube bundle (19 inner tubes)",1.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB18SX (Fiber) & TCxxTRX   (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-18SFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19C12STC6V,"19 Conductors, 12 AWG, Stranded, tinned copper",0.939, ,600,EPR,XL-CPE,Tray or Conduit,100,BICC Cables FREP-XL-S600-TC-12-19, ,BICC-FREP-XL-S600-TC-12-19.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19C16TC6VNR,"19 Conductor, 16 AWG, overall shield, tinned copper drain, tray rated",0.63,PPS non-rad cable,600,PVC/Nylon,PVC,Tray or Conduit,1,General Cable D1501619, HW1501619,General-D1501619.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C_HEL_AVA750,"Single Conductor, AVA750,
HELIAX? Andrew Virtual Air? Coaxial Cable, corrugated copper, 1-5/8 in, black nonhalogenated, fire retardant polyolefin jacket.",1.625,RF Signal Cabling  ,15K VDC,Foam PE,Non-Halogen Polyolefin,"Conduit, Tray",100,Andrew AVA7RK-50, ,AVA7RK-50 aspx.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C_RG-8,"Single conductor, stranded, Flexible, low loss communications coax, non-halogen (non-toxic), low smoke, fire retardant cable, UL/NEC & CSA rating of ?CMR? and ?FT4? respectively.",0.405, transmission line,2500 VDC,Foam PE,FRPE,Tray or Conduit,100,Times-Microwave LMR-400-FR, ,TM_LMR-400-FR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
